bitName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
RS0015,hal-config-8hybs-405z3dz05-488z3dz05-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+),1,-1,650,10;11;12;13;14;15;16;17;18;19;20;21;22;23;,0.0;0.3;0.6;0.9;1.2;1.5;1.8;2.1;2.4;2.7;3.0;3.3;3.6;3.9;,hal-config-8hybs-405z3dz05-488z3dz05-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+),-1,8,561
RS0083,hal-config-8hybs-405z3dz05-488z3dz05-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+),2,-1,750,24;25;26;27;28;29;30;31;32;33;34;35;36;37;,3.9;3.6;3.3;3.0;2.7;2.4;2.1;1.8;1.5;1.2;0.9;0.6;0.3;0.0;,hal-config-8hybs-405z3dz05-488z3dz05-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+),-1,8,561
RS0095,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),3,0,750,18;19;20;21;22;23;24;25;26;27;28;29;30;31;,3.9;3.6;3.3;3.0;2.7;2.4;2.1;1.8;1.5;1.2;0.9;0.6;0.3;0.0;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),0,2,561
RS0109,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),4,0,650,4;5;6;7;8;9;10;11;12;13;14;15;16;17;,0.0;0.3;0.6;0.9;1.2;1.5;1.8;2.1;2.4;2.7;3.0;3.3;3.6;3.9;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),0,2,561
RS0175,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),5,1,650,4;5;6;7;8;9;10;11;12;13;14;15;16;17;,0.0;0.3;0.6;0.9;1.2;1.5;1.8;2.1;2.4;2.7;3.0;3.3;3.6;3.9;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),1,2,561
RS0237,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),6,1,750,18;19;20;21;22;23;24;25;26;27;28;29;30;31;,3.9;3.6;3.3;3.0;2.7;2.4;2.1;1.8;1.5;1.2;0.9;0.6;0.3;0.0;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),1,2,561
RS0247,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),7,2,650,4;5;6;7;8;9;10;11;12;13;14;15;16;17;,0.0;0.3;0.6;0.9;1.2;1.5;1.8;2.1;2.4;2.7;3.0;3.3;3.6;3.9;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),2,2,561
RS0255,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),8,2,750,18;19;20;21;22;23;24;25;26;27;28;29;30;31;,3.9;3.6;3.3;3.0;2.7;2.4;2.1;1.8;1.5;1.2;0.9;0.6;0.3;0.0;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),2,2,561
RS0307,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),9,3,750,18;19;20;21;22;23;24;25;26;27;28;29;30;31;,3.9;3.6;3.3;3.0;2.7;2.4;2.1;1.8;1.5;1.2;0.9;0.6;0.3;0.0;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),3,2,561
RS0332,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),10,3,650,4;5;6;7;8;9;10;11;12;13;14;15;16;17;,0.0;0.3;0.6;0.9;1.2;1.5;1.8;2.1;2.4;2.7;3.0;3.3;3.6;3.9;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),3,2,561
RS0343,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),11,4,650,4;5;6;7;8;9;10;11;12;13;14;15;16;17;,0.0;0.3;0.6;0.9;1.2;1.5;1.8;2.1;2.4;2.7;3.0;3.3;3.6;3.9;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),4,2,561
RS0384,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),12,4,750,18;19;20;21;22;23;24;25;26;27;28;29;30;31;,3.9;3.6;3.3;3.0;2.7;2.4;2.1;1.8;1.5;1.2;0.9;0.6;0.3;0.0;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),4,2,561
RS0406,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),13,5,650,4;5;6;7;8;9;10;11;12;13;14;15;16;17;,0.0;0.3;0.6;0.9;1.2;1.5;1.8;2.1;2.4;2.7;3.0;3.3;3.6;3.9;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),5,2,561
RS0451,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),14,5,750,18;19;20;21;22;23;24;25;26;27;28;29;30;31;,3.9;3.6;3.3;3.0;2.7;2.4;2.1;1.8;1.5;1.2;0.9;0.6;0.3;0.0;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),5,2,561
RS0468,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),15,6,750,18;19;20;21;22;23;24;25;26;27;28;29;30;31;,3.9;3.6;3.3;3.0;2.7;2.4;2.1;1.8;1.5;1.2;0.9;0.6;0.3;0.0;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),6,2,561
RS0548,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),16,6,650,4;5;6;7;8;9;10;11;12;13;14;15;16;17;,0.0;0.3;0.6;0.9;1.2;1.5;1.8;2.1;2.4;2.7;3.0;3.3;3.6;3.9;,hal-config-8hybs-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+)_(?<imagingRound>[0-9]+),6,2,561
polyT,hal-config-8hybs-405z3dz05-488z3dz05-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+),25,-1,488,5;,0.3;,hal-config-8hybs-405z3dz05-488z3dz05-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+),-1,8,561
DAPI,hal-config-8hybs-405z3dz05-488z3dz05-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+),47,-1,405,1;,0.6;,hal-config-8hybs-405z3dz05-488z3dz05-560z3dz05-647z14dz03-750z14dz03,(?<imageType>[\w|-]+)_(?<fov>[0-9]+),-1,8,561
